seller_id,revenue_per_seller,seller_city,seller_state
4869f7a5dfa277a7dca6462dcf3b52b2,229472.63,Guariba,SP
53243585a1d6dc2643021fd1853d8905,222776.05,Lauro de Freitas,BA
4a3ca9315b744ce9f8e9374361493884,200472.92,Ibitinga,SP
fa1c13f2614d7b5c4749cbc52fecda94,194042.03,Sumaré,SP
7c67e1448b00f6e969d365cea6b010ab,187923.89,Itaquaquecetuba,SP
7e93a43ef30c4f03f38b393420bc753a,176431.87,Barueri,SP
da8622b14eb17ae2831f4ac5b9dab84a,160236.57,Piracicaba,SP
7a67c85e85bb2ce8582c35f2203ad736,141745.53,São Paulo,SP
1025f0e2d44d7041d6cf58b6550e0bfa,138968.55,São Paulo,SP
955fee9216a65b617aa5c0531780ce60,135171.7,São Paulo,SP
46dc3b2cc0980fb8ec44634e21d2718e,128111.19,Rio de Janeiro,RJ
6560211a19b47992c3666cc44a7e94c0,123304.83,São Paulo,SP
620c87c171fb2a6dd6e8bb4dec959fc6,114774.5,Petrópolis,RJ
7d13fca15225358621be4086e1eb0964,113628.97,Ribeirão Preto,SP
5dceca129747e92ff8ef7a997dc4f8ca,112155.53,Santa Bárbara d'Oeste,SP
1f50f920176fa81dab994f9023523100,106939.20999999999,São José do Rio Preto,SP
cc419e0650a3c5ba77189a1882b7556a,104288.42,Santo André,SP
a1043bafd471dff536d0c462352beb48,101901.16,Ilicínea,MG
3d871de0142ce09b7081e2b9d1733cb1,94914.2,Campo Limpo Paulista,SP
edb1ef5e36e0c8cd84eb3c9b003e486d,79284.55,Teresópolis,RJ
ccc4bbb5f32a6ab2b7066a4130f114e3,74004.62,Curitiba,PR
f7ba60f8c3f99e7ee4042fdef03b70c4,68395.0,São Bernardo do Campo,SP
fe2032dab1a61af8794248c8196565c9,65959.61,Campinas,SP
8581055ce74af1daba164fdbd55a40de,64925.3,Guarulhos,SP
cca3071e3e9bb7d12640c9fbe2301306,64009.89,Ibitinga,SP
04308b1ee57b6625f47df1d56f00eedf,60130.6,Bombinhas,SC
522620dcb18a6b31cd7bdf73665113a9,57168.49,Cascavel,PR
17e34d8224d27a541263c4c64b11a56b,56363.24,Ribeirão Preto,SP
7ddcbb64b5bc1ef36ca8c151f6ec77df,55578.57,São Paulo,SP
de722cd6dad950a92b7d4f82673f8833,55426.1,Recife,PE
37be5a7c751166fbc5f8ccba4119e043,55350.55,São Paulo,SP
218d46b86c1881d022bce9c68a7d4b15,55093.28,Ribeirão Preto,SP
25c5c91f63607446a97b143d2d535d31,54679.22,Itaúna,MG
f5a590cf36251cf1162ea35bef76fe84,53201.78,São Bernardo do Campo,SP
